comment;score negative;score neutral;score positive;score compound
These lyrics hit hard.. and 1:20 shattered me. Joshua never deserved what he got. Death threats?? Cmon.. and when he got badly injured y’all were happy..;0.433;0.474;0.092;-0.9129
"“Half the stuff you’re saying’s only half true. Messing with my life as a career move” 
HOLY CRAP ";0.151;0.723;0.127;-0.1363
Listening to his songs are really helping me with my depression.;0.244;0.592;0.164;-0.2975
"He’s donating his music and got death threats. I’m team Josh. 100% 
I’m heartbroken he went through so much. So glad I never jumped on the hate wagon";0.351;0.549;0.1;-0.8886
Well, he is right and i feel so bad for all the hate that he got and still getting, even if Olivia's songs are about him, that doesn't mean you have to put him in hell like he is not a human like us and not only him all the famous people are like us with feelings and emotions, they deserve respect and privacy.;0.184;0.69;0.126;-0.7718
How tf are people gonna send someone death threats over a breakup of 2 people they don’t even know.;0.283;0.717;0.0;-0.7717
I liked Olivia’s music but the way she made this poor boy suffer was so cruel. I lost a lot of respect for her for doing nothing.;0.408;0.459;0.132;-0.9395
It’s time to start thinking about the people these hit “revenge songs” are about as PEOPLE with real feelings, especially Josh as a young SA survivor. I’m glad he wrote this & that John Mayer posted about the death threats he receives daily from crazed Taylor fans.;0.147;0.754;0.099;-0.4019
"This is so heartbreaking 
Everyone makes mistakes and no one deserves what he is going through";0.397;0.603;0.0;-0.8208
You just can't invalidate anyones feeling. They've been hurt, no need to compare who suffered most.;0.459;0.541;0.0;-0.847
A little reminder that we should not decide which side of the story is the true one and that no one did something that bad to hate on them all the time;0.234;0.697;0.07;-0.765
Everyone has the right to express their feelings through art. But once someone is getting death threats, its YOUR JOB to be the role model and speak up.;0.258;0.742;0.0;-0.8765
It wasn't Olivia’s fault. She was heartbroken and had a right to express her feelings and so does Joshua. It was the fans who ruined it.;0.227;0.704;0.069;-0.7304
God, I'm in tears. I can't imagine what  you went through. And I know we don't know the full story, but what I do know is people took it too far, and im so sorry.;0.096;0.862;0.042;-0.2528
Lets stop hating people and just appreciate this song .;0.362;0.461;0.178;-0.4215
I’m so sorry for all he went through. But after all the one’s to blame are the fans, I don’t get why everyone has to hate on someone just because had some misunderstanding with their preferred artist. I don’t know if this is about Liv, but I do know that I was heartbroken with Sour BUT NEVER hated on Joshua bc idk if it’s about him. At the end they’re the only ones who know the whole side of the story;0.209;0.746;0.046;-0.9446
Whatever said, I think it was Olivia’s responsibility to address her fans and tell them not to spread hatred and death threats atleast!!;0.238;0.652;0.11;-0.6015
I've lost hope in this generation. This man did not deserve death threats for anything, let alone for lyrics in a song that is not confirmed facts. The need to spread hate for little things that don't even really impact your life in anyway is actually disgusting. Olivia told her story, and so Joshua is telling his. The fact that people are hating him for that is just disrespectful. Just because they're celebrities does not mean that anyone needs to get involved in their business. Yes Olivia released songs based on Josh and Sabrina, supposedly, and then Sabrina and Josh releasing songs to get back on the haters because people cannot mind their own business and just enjoy the songs. Everyone makes mistakes, should I send you death threats for the mistakes you have made? No. So don't do it to those who are in the public eye either.;0.166;0.753;0.08;-0.9363
"Honestly, I wasn't really interested in this whole ""Olivia vs. Joshua"" crap. But I listened to her album when it came out and personally while talented, I thought it was boring and for me, that was that. Then I started seeing all the Tiktoks and seeing all the people say, that if they saw him, they'd kill him and that didn't sit right with me. Especially since they acknowledged that he was a kid in those same comments. What sat even worse with me was when I saw people sending Sabrina hate for dating him or whatever.";0.189;0.756;0.055;-0.95
"""Fans"" are crazy. He got DEATH THREATS just for having another girlfriend?? Breakups happen all the time, it's not the end of the world. I honestly find Olivia a little too dramatic. Don't get me wrong, she can write great songs and has a beautiful voice, but the drama... was it honestly necessary to release an album to the world telling everyone how ""heartbroken"" she is? 
I loved Joshua's lyrics ""and honestly I didn't wanna write this"". It shows he's not doing this for the publicity. The lyrics are the feelings he just needs to let go of after all he's been through. ""Messing with my life as a career move"" hit hard. His life is being DESTROYED because of this. For goodness sake, just leave the man alone! Is it that important that you hate on someone you don't even know?";0.164;0.681;0.156;-0.3627
I never took Olivia's side. Did not know who she was and did not know anything about Joshua or Sabrina until driver's license popped up. And tbh I never liked that song. Something about Olivia was always off to me. She knew of course everyone was connecting drivers license to Joshua and Sabrina. And she never said a word. I assume she definitely knew about the death threats too. But still no word. Until a yr later she tells in an interview that drivers license was never about them. And that ticked me off. One, because I gave a shit about this stupid teen drama but how can u ignore it whens it everywhere and two, because she gave this statement a year later after she baggaged every cent on this ride. I'm sorry but olivia has not been mature during this time. Joshua and Sabrina have been. And if this song is about her, then Joshua sing it mate. Ok, I'm done with this drama now. God forbid I ever come bck to it ;0.164;0.813;0.023;-0.9802
I feel like Olivia would watch this and cry;0.246;0.556;0.198;-0.1531
He doesn't deserve any of the hatred he's getting bcz of olivia.;0.276;0.724;0.0;-0.6369
Josh I'm obsessed;0.459;0.541;0.0;-0.1779
Crisis just makes me wanna cry sis (crisis);0.693;0.307;0.0;-0.9062
Why in the ACTUAL hell is this Drama thing  still going on? People take things to a whole ‘nother level,  let me tell you. This dude did not deserve the hate he gets, but Olivia wasn’t at fault. The stupid so-called ‘ Fans ‘  were the ones who sent death threats and all those disgusting messages and hate. Can people just stop and leave the ‘ drama ‘ alone and just appreciate amazing music coming from both of them?  It’s been 6 MONTHS!  Let IT GO!;0.297;0.613;0.09;-0.9767
he released multiple songs and eps throughout the thick of it and she only released one album and ya'll dragging this on for what. there was no response songs. stop hating both sides and just enjoy good music.;0.165;0.705;0.13;-0.1531
People who are or have made a threat to him need to grow up people brake up plus they act like it is there business;0.118;0.796;0.087;-0.2263
I might so a cover of this song this song is fire;0.179;0.821;0.0;-0.34
I'm a fan of you and Olivia but when she wrote driver's license Im so sorry for all the hate you got I know it's hard when people started to hate on you;0.318;0.644;0.038;-0.9211
His songs  are awesome but olivias fans hate on him for something people don’t even know what happened;0.214;0.678;0.108;-0.5423
im crying;0.756;0.244;0.0;-0.4767
No , but really Olivia did cause a lot of drama tho... ;0.127;0.873;0.0;-0.1531
"One side was playing the victim
The other just trying to say nice things but also says this person feels hurt
Another side had damaged reputation all because of the first two";0.248;0.67;0.082;-0.8271
"Olivia shouldn't have done him dirty like that. Poor Josh,he's suffering through so much...imagine getting literal DEATH THREATS at the age of 20!!
also,yall dont call yourselves fAnS when yall cant respect people";0.417;0.532;0.051;-0.9578
Season 3 about to be awkward as hell….;0.186;0.814;0.0;-0.1531
Awful what some fans do to artists. They don't know the full story.;0.2;0.8;0.0;-0.4588
My mama called cause she heard i got death threats;0.456;0.544;0.0;-0.7717
I take Joshua’s side but what happened to the blonde girl she said she got betrayed to?;0.256;0.744;0.0;-0.7579
"All I can say is In one of josh's songs he said he was and ""abuser"" witch then brings us to Olivas past songs and 2 weeks after we stopped seeing there Collab's He dated someone new";0.19;0.81;0.0;-0.7906
He didn't deserve those hates or even death threats, but yk olivia didn't too.. I mean some of you guys call her a b word here, it's so mean. Stay neutral bc we will never know the truth anw don't get too much obsessed with celebrities life lol just enjoy their work :/ anw Joshua voice is so angelic;0.164;0.702;0.134;-0.0618
I am crying;0.608;0.392;0.0;-0.4767
I feel like she put her feelings in her song that doesn’t give people the right to send this dude death threats man she is move on everyone gets hurt it’s part of like let him live his shew people are so serious;0.22;0.687;0.093;-0.7809
I just want to say that why hate on Joshua. This is just like other break up. Just like other celebrities. Oliva is a girl of course she is going to cry of course. She is sad. Why can't he.;0.197;0.677;0.125;-0.6808
"""Half the shit you're saying's only half true"" 
Wait, so it's only 1/4?";0.207;0.632;0.161;-0.2023
"bro ppl  r going crazy about the drama, but i am just here for the music
but i also feel so bad for him. i really hope he is ok";0.193;0.634;0.173;-0.2137
It's disgusting that she cheated on him, broke up with him, then turned around and made an entire album of lies making it look like he was the monster.;0.317;0.619;0.064;-0.8689
"Wait Waaaait, hold on a minute.. let me get this straight!! So Olivia fooled everyone and Josh suffered a lot because of the lies she told, hmmmm isn't it!!??!
So olivia give me back my tears pls kkkkkkk trying to be The next Taylor hamm, but a liar version of it ";0.222;0.732;0.045;-0.8923
POV: you're trying to find the olivia ridgo fans getting mad and sending death threats;0.452;0.548;0.0;-0.872
Me relating with this song to my bully;0.314;0.686;0.0;-0.4939
I was on her side but after your song now I no what your going through to I didn’t no that you were getting death threats that’s terrible I’m so sorry for you;0.434;0.566;0.0;-0.967
how i feel about Taylor Swift ugh;0.292;0.521;0.188;-0.25
Im guessing no more seasons of hsmtmts;0.268;0.732;0.0;-0.296
He's been through hell;0.605;0.395;0.0;-0.6808
look i really love olivia but ig this had not worked out soo yeah its gud atleast you could put an end.. and even if olivia asked to stop that hatred ppl wouldnt have stopped...;0.186;0.65;0.164;-0.4686
I still do love Olivia rodrigo, but she scams her fans and she lies a lot. I’m so sorry with what you went through I’m on your side for now. Your not alone in this :);0.221;0.603;0.175;-0.5109
this song hurt me;0.531;0.469;0.0;-0.5267
idk who to believe now;0.259;0.741;0.0;-0.1027
Why did he get death threats.. what..;0.573;0.427;0.0;-0.7717
Oh what the hell am I supposed to do with that....;0.315;0.685;0.0;-0.6808
WTH I THINK HE'S WRITING SONGS ABT OLIVIA LYING AND MAKING IT LOOK LIKE JOSHUA IS THE BAD GUY. HE SAYS HE RLLY LOVED OLIVIA AND IT'S HER WHO FIRST BROKE UP AND CALLED IT QUITS. I THINK HE'S SAYING THAT OLIVIA MESSING WITH HIS LIFE AS A CAREER MOVE. AND ONLY HALF THE SONGS OF OLIVIA WERE TRUE;0.176;0.7;0.124;-0.5994
"""You would never dare to waste a crisis"" the last vocal sounded like Sabrina's skinny dipping's one line I didn't remember it thou";0.142;0.691;0.167;-0.069
"does anyone know what he is singing about


olivia Rodrigo the girl that ruined his life and sabrina carpenters to";0.14;0.86;0.0;-0.4767
Awww this is so sad;0.499;0.501;0.0;-0.6113
this is so sad;0.571;0.429;0.0;-0.6113
Olivia went too far I love him and death threats come on Olivia and Sabrina too this is crazy not every thing has to be a song;0.251;0.634;0.116;-0.5994
i feel so sorry for you;0.258;0.742;0.0;-0.188
NO MORE OLIVIA,I can’t believe her she’s a big brat,I’m not a traitor she is all the hate u have been getting is too much;0.224;0.776;0.0;-0.7672
i dont want go the school cause they are really bad person and im so sad;0.409;0.591;0.0;-0.8404
Im sorry but is no one gonna talk about how bad the mouthing to the lyrics is;0.383;0.617;0.0;-0.8271
Haha people support this song but when it comes to Sabrina's song all hell breaks loose classic Olivia fans;0.332;0.532;0.137;-0.8176
Jhosua taking advantage of the crisis to boost his career in short .....;0.218;0.532;0.25;-0.1027
When she was talking shit about him in her songs. Fans: let’s kill him!!!! When he answers back. Fans: let’s be civil, there is always 2 sides of a story  hypocrites ;0.246;0.754;0.0;-0.8877
is it ironic, he wrote a song for other girl when he's with olivia but then he write many songs for olivia when he's with that girl, cmiiw;0.044;0.956;0.0;-0.0644
everyone is so bully;0.578;0.422;0.0;-0.6269
All these songs are good but Joshua Bassett is terrible at lip syncing in the video ;0.206;0.697;0.097;-0.4939
He is suffering from heart failure Olivia needs to lay off;0.344;0.43;0.226;-0.296
olivia is shit for not stopping her fans from making his life so miserable, making fun of his therapy in her songs all that simply for her career move. waiting for karma to hit hard.;0.207;0.68;0.113;-0.6259
OK listen I know Olivia did this to Joshua but Joshua went through it this stuff and I don’t think Olivia should go to YouTube so like we shouldn’t talk crap and send death threats to Olivia;0.245;0.63;0.125;-0.7976
Serious! DEATH THREATS for dating her I feel so bad for him I see Olivia in a whole new perspective after these songs came out joshoua if you see this comment you are in the right and don’t take it personally there just jelly;0.263;0.737;0.0;-0.9354
Girls man they just mess up with u;0.263;0.737;0.0;-0.3612
Olivias song made me angry, Josh’s made me sad;0.478;0.522;0.0;-0.7506
Everyone’s mad that no one told people to stop speculating but at the end of the day it’s not either song writers job to mess with drama people make about their songs it just feeds it really. It sucks that he got death threats but I don’t think telling people not to would have made it stop it would have just made the drama even bigger;0.293;0.707;0.0;-0.9722
"2010 John Mayer couldn't relate, haha.

sorry if this was a bad joke. no hate here";0.256;0.47;0.274;-0.1431
You know whoever sent him death threats next time get the whole damn story cause y'all are fucked for ever telling anyone that you'll kill them or for them to kill themselves honestly if payed attention to Olivia's posts at one point she posted a song for a day or so admitting that she over exaggerated like a month after driver's license so stop being so caught up in drama that you send people death threats that's the most fucked up thing anyone can possibly do so stop it's not cool or funny at all regardless of who you support;0.336;0.605;0.06;-0.9898
Unpopular opinion:Please don’t hate me but oliva has gone to far first she still songs and then she makes a whole song about heartbreak a bunch of people are coming after Joshua Bassett with desperate while he was in the hospital and had a 30% chance of living seriously Olivia that is messed up and buy that blonde girl line in drivers license somehow Sabrina got dragged into all of this I’m lmean but this is just my opinion i’m not saying Olivia did this on purpose but it’s just the assumption;0.161;0.815;0.024;-0.9231
Olivia Rodrigo is a bad person I can’t believe I looked up to her;0.212;0.788;0.0;-0.5423
im sorry for you and olivia she is very rude and ruind your life;0.277;0.723;0.0;-0.5563
Diametrically opposed albums telling very vague two sides of the story. I must say this is a very ugly break up;0.218;0.782;0.0;-0.647
Yes, i am a o=)livia fan but he said she put him through a lot but he cheated on her with Sabrina that's just me thought;0.144;0.743;0.113;-0.4497
Olivia is a bully;0.516;0.484;0.0;-0.4939
Bitch this song bout Olivia Rodrigo;0.432;0.568;0.0;-0.5859
Driver’s license is SHIT I can’t stand that song;0.351;0.649;0.0;-0.6523
Olivia is a witch..;0.455;0.545;0.0;-0.3612
I hate you because you broke up with the most prettiest girl with the most beautiful voice what is wrong with you you broke up with him with you for now reason just because you were staying because you found a blog or something;0.212;0.649;0.14;-0.4963
Joshua i cant help wonder why you never made a song with sabrina also pleaseplease get back together with olovia you guys belong together just talk about it work it out;0.07;0.93;0.0;-0.3089
Olivia’s driver’s license is not even a direct attack to Josh nor Sabrina, it’s just her telling a story that’s so vague to who it refers to. But this song is like literally pointing onto somebody. Petty.;0.136;0.787;0.078;-0.1111
You're messin' with my life as a career move... Lmaoo why is he blaming Olivia when he is litterally doing the same thing Don't y'all think its rude to say smth like that;0.16;0.775;0.065;-0.5719
He did not love her he left her Olivia hurt the most he literally cheated on Olivia also all the things Olivia said were true!;0.309;0.61;0.081;-0.8327
I think it’s shitty that he’s saying “do you wonder if I’m okay after all you put me through..”. He dropped her like a hot potato..then he makes this song.  She has every right to make a song about her feelings.  I don’t think she knew he would get death threats, but that’s not her fault.  I don’t think he’s the devil or anything, but that was shitty what he did.  He’s also very young, just like her. They are both profiting from it.  I empathize with her more, but I’m kinda tired of the sad songs.;0.204;0.689;0.106;-0.9334
Blah blah stop trying to gaslight her;0.556;0.444;0.0;-0.4588
It's so cringe how desperately he's trying to ride Olivia's wave now that it's obviously way too late;0.144;0.856;0.0;-0.4336
Ok so I may get so much hate for this but he is a liar;0.338;0.584;0.078;-0.746
YOU SAY FOREVER IN YOUR FUCKING SONGS, NOW SHE DRIVE ALONE PAST IT STREET;0.133;0.867;0.0;-0.25
So bad. I'm embarrassed.;0.766;0.234;0.0;-0.762
